tiersId,nom,adresse,siret_trouve,source,name_match,addr_match,combined,action,note
43,GARAGE DANIELLE CASANOVA  ,"53 AVENUE DANIELLE CASANOVA
94200 IVRY  SUR  SEINE",56207626500023,societe.com/pappers,1.0,1.0,1.0,UPDATED,
406,KERBELLEC  BRIGITTE,"8 RUE GEORGES BRASSENS
22680 ETABLES SUR MER",,,,,,NO_MATCH,Aucune entreprise BRIGITTE KERBELLEC trouvée à Etables-sur-Mer/Binic 22680
407,LODS  EMMANUEL,"42 rue Mouffetard
75005 PARIS",,,,,,NO_MATCH,Aucune entreprise LODS EMMANUEL trouvée 75005
413,A L ASSIETTE SARL,113 Rue Marcel Hartmann 94200 IVRY SUR SEINE,37992287500016,pappers.fr,1.0,1.0,1.0,UPDATED,
411,ACM SARL,18 Ave De Verdun 94200 IVRY SUR SEINE,,,,,,NO_MATCH,SIREN 452570179 trouvé mais SIRET incomplet (entreprise liquidée 2024)
412,AALIM ALI BEN LAHCEN.M,5 Rue Lenine 94200 IVRY SUR SEINE,31271018900019,manageo.fr,1.0,1.0,,UPDATED,
414,1001 PILES BATERIES,55 RUE LENINE 94200 IVRY SUR SEINE,51411041000016,hoodspot/societe.com,0.97,1.0,,UPDATED,
415,"""LE BALTO "" SNC M Ngauv",3 Rue Pierre Et Marie Curie 94200 IVRY SUR SEINE,,,,,,NO_MATCH,RCS 480200773 mais SIRET non publié
416,AIKEL EXPRESSO,3 Pla Leon Gambetta 94200 IVRY SUR SEINE,49861909700013,societe.com,1.0,1.0,,UPDATED,
417,ADOSSEY SAS,2 PLA DE L INSURRECTION 94200 IVRY SUR SEINE,,,,,,NO_MATCH,Aucune entreprise ADOSSEY trouvée
418,DIOTIMA SARL,15 RUE GABRIEL PERI 94200 IVRY SUR SEINE,,,,,,NO_MATCH,SIREN 520371188 trouvé mais SIRET complet non confirmé
419,ADNAN SARL.,2 Rue Raspail 94200 IVRY SUR SEINE,48867061300014,score3/societe.com,1.0,0.95,,UPDATED,
421,ADA,55 AVE DE VERDUN 94200 IVRY SUR SEINE,81241007400015,hoodspot,1.0,1.0,,UPDATED,"raison sociale BBG LOC, exploitation ADA"
422,AMBULANCE MICHELET,3 Rue Louis Rousseau 94200 IVRY SUR SEINE,48763926200020,pappers/societe.com,1.0,1.0,,UPDATED,
423,ALLOUACHE FARID.M,19 Rue Denis Papin 94200 IVRY SUR SEINE,53466290300010,societe.com/verif,0.6,1.0,,UPDATED,ARBADA SAS dirigée par Farid ALLOUACHE même adresse
424,ALIOUANE MR,100 Bld Paul Vaillant Couturier 94200 IVRY SUR SEINE,,,,,,NO_MATCH,"ALIOUANE MEZIANE radié 2013, CHEZ NOUS fermé 2023, SIRET non confirmé"
425,ALICIA,39 Rue Denis Papin 94200 IVRY SUR SEINE,49065816800011,societe.com,1.0,1.0,,UPDATED,
426,AKSHAYA SARL .,39 RUE JULES VANZUPPE 94200 IVRY SUR SEINE,54004171200014,societe.com/etablissement,1.0,1.0,,UPDATED,
427,ARBON HENRI.M,61 Ave Maurice Thorez 94200 IVRY SUR SEINE,,,,,,NO_MATCH,ARBON HENRI SIREN 397602079 mais SIRET complet non confirmé
428,APIRAHMEE EXOTIQUE Produits Exotiques /,2 BIS Rue Pierre Brossolette 94200 IVRY SUR SEINE,49317323100017,societe.com,1.0,0.95,,UPDATED,
429,ANTIC ASIA,8 Ave De Verdun 94200 IVRY SUR SEINE,,pagesjaunes/societe.com,1.0,0.85,,SKIP_DUPLICATE,siret déjà utilisé par tiers #19
430,ANNABELLA SARL,2 Rue Louis Bertrand 94200 IVRY SUR SEINE,,,,,,NO_MATCH,Etablissement secondaire 2 rue Louis Bertrand fermé 2021
431,ANATA,80 BIS Ave De Verdun 94200 IVRY SUR SEINE,,,,,,NO_MATCH,Institut ANATA non trouvé en base SIRENE
432,AMGHAR AMOKRANE,12 Rue Pierre Et Marie Curie 94200 IVRY SUR SEINE,31551095800020,societe.com,1.0,1.0,,UPDATED,
433,ASKAOUEN SARL,58 RUE MOLIERE 94200 IVRY SUR SEINE,,,,,,NO_MATCH,Aucun ASKAOUEN à 58 rue Molière
434,ASIVRY,74 Rue Marat 94200 IVRY SUR SEINE,,,,,,NO_MATCH,"ASIVRY SIREN 492598800 mais SIRET complet non vérifié, en liquidation"
435,ARIA ET PATHMA,40 RUE LENINE 94200 IVRY SUR SEINE,82830957500011,manageo.fr,1.0,0.85,,UPDATED,adresse SIRENE = 44 rue Lenine vs 40 dans tiers
436,ARDILENE SNC Monsieur Ben Ihaddadene Hak,108 Ave Danielle Casanova 94200 IVRY SUR SEINE,49977554200016,societe.com,1.0,1.0,,UPDATED,
437,ARBOUCHE BELAID M.,59 Rue Henri Martin 94200 IVRY SUR SEINE,41970898700013,societe.com,0.7,1.0,,UPDATED,LE PARIS TIZI SARL exploitée par Belaid Arbouche
438,AU BON PARIS,15 PLA DU GENERAL DE GAULLE 94200 IVRY SUR SEINE,81022718100023,societe.com,1.0,1.0,,UPDATED,radiée
439,AU BON ACCUEIL SARL,8 Ave Jean Jaures 94200 IVRY SUR SEINE,,,,,,NO_MATCH,AU BON ACCUEIL SIREN 333912327 mais SIRET complet non confirmé
440,ATAC SAS,107 RUE HOCHE 94200 IVRY SUR SEINE,41040901503984,edecideur,1.0,1.0,,UPDATED,établissement maintenant Auchan/Simply
441,ASSUR PERMIS,5 RUE PIERRE GALAIS 94200 IVRY SUR SEINE,,,,,,NO_MATCH,"ASSUR PERMIS radiée, SIRET complet non confirmé"
